ID,Procedure Name,Specialty,Procedure Code,Equipment/Infra Required,Cost (INR),Typically Available In,Not Feasible in Tier-3 Due to
375,Gamma Knife Radiosurgery,Neurosurgery,NS001375,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
376,Bone Marrow Transplant,Hematology,HEM001376,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
377,CAR-T Cell Therapy,Immuno-Oncology,ONC004377,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
378,Liver Transplant,Hepatology,HEP001378,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
379,Liver Transplant,Hepatology,HEP001379,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
380,CAR-T Cell Therapy,Immuno-Oncology,ONC004380,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
381,CAR-T Cell Therapy,Immuno-Oncology,ONC004381,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
382,Gamma Knife Radiosurgery,Neurosurgery,NS001382,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
383,Robotic-Assisted Prostatectomy,Urology,URO001383,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
384,Robotic-Assisted Prostatectomy,Urology,URO001384,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
385,CAR-T Cell Therapy,Immuno-Oncology,ONC004385,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
386,Gamma Knife Radiosurgery,Neurosurgery,NS001386,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
387,Liver Transplant,Hepatology,HEP001387,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
388,Bone Marrow Transplant,Hematology,HEM001388,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
389,Robotic-Assisted Prostatectomy,Urology,URO001389,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
390,CAR-T Cell Therapy,Immuno-Oncology,ONC004390,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
391,Bone Marrow Transplant,Hematology,HEM001391,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
392,Gamma Knife Radiosurgery,Neurosurgery,NS001392,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
393,CAR-T Cell Therapy,Immuno-Oncology,ONC004393,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
394,Gamma Knife Radiosurgery,Neurosurgery,NS001394,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
395,Gamma Knife Radiosurgery,Neurosurgery,NS001395,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
396,Bone Marrow Transplant,Hematology,HEM001396,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
397,Gamma Knife Radiosurgery,Neurosurgery,NS001397,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
398,Gamma Knife Radiosurgery,Neurosurgery,NS001398,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
399,Bone Marrow Transplant,Hematology,HEM001399,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
400,Bone Marrow Transplant,Hematology,HEM001400,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
401,Robotic-Assisted Prostatectomy,Urology,URO001401,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
402,Liver Transplant,Hepatology,HEP001402,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
403,Bone Marrow Transplant,Hematology,HEM001403,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
404,Liver Transplant,Hepatology,HEP001404,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
405,Bone Marrow Transplant,Hematology,HEM001405,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
406,Gamma Knife Radiosurgery,Neurosurgery,NS001406,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
407,Robotic-Assisted Prostatectomy,Urology,URO001407,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
408,Bone Marrow Transplant,Hematology,HEM001408,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
409,CAR-T Cell Therapy,Immuno-Oncology,ONC004409,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
410,Gamma Knife Radiosurgery,Neurosurgery,NS001410,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
411,Robotic-Assisted Prostatectomy,Urology,URO001411,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
412,Gamma Knife Radiosurgery,Neurosurgery,NS001412,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
413,Gamma Knife Radiosurgery,Neurosurgery,NS001413,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
414,CAR-T Cell Therapy,Immuno-Oncology,ONC004414,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
415,Robotic-Assisted Prostatectomy,Urology,URO001415,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
416,Gamma Knife Radiosurgery,Neurosurgery,NS001416,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
417,Bone Marrow Transplant,Hematology,HEM001417,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
418,Gamma Knife Radiosurgery,Neurosurgery,NS001418,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
419,Bone Marrow Transplant,Hematology,HEM001419,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
420,Bone Marrow Transplant,Hematology,HEM001420,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
421,Robotic-Assisted Prostatectomy,Urology,URO001421,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
422,CAR-T Cell Therapy,Immuno-Oncology,ONC004422,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
423,Bone Marrow Transplant,Hematology,HEM001423,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
424,Robotic-Assisted Prostatectomy,Urology,URO001424,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
425,Robotic-Assisted Prostatectomy,Urology,URO001425,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
426,Gamma Knife Radiosurgery,Neurosurgery,NS001426,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
427,Gamma Knife Radiosurgery,Neurosurgery,NS001427,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
428,Gamma Knife Radiosurgery,Neurosurgery,NS001428,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
429,Gamma Knife Radiosurgery,Neurosurgery,NS001429,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
430,CAR-T Cell Therapy,Immuno-Oncology,ONC004430,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
431,Robotic-Assisted Prostatectomy,Urology,URO001431,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
432,CAR-T Cell Therapy,Immuno-Oncology,ONC004432,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
433,Gamma Knife Radiosurgery,Neurosurgery,NS001433,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
434,Liver Transplant,Hepatology,HEP001434,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
435,Robotic-Assisted Prostatectomy,Urology,URO001435,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
436,Robotic-Assisted Prostatectomy,Urology,URO001436,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
437,Liver Transplant,Hepatology,HEP001437,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
438,Bone Marrow Transplant,Hematology,HEM001438,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
439,CAR-T Cell Therapy,Immuno-Oncology,ONC004439,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
440,Bone Marrow Transplant,Hematology,HEM001440,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
441,Gamma Knife Radiosurgery,Neurosurgery,NS001441,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
442,Robotic-Assisted Prostatectomy,Urology,URO001442,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
443,Bone Marrow Transplant,Hematology,HEM001443,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
444,Gamma Knife Radiosurgery,Neurosurgery,NS001444,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
445,Bone Marrow Transplant,Hematology,HEM001445,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
446,Bone Marrow Transplant,Hematology,HEM001446,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
447,CAR-T Cell Therapy,Immuno-Oncology,ONC004447,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
448,Bone Marrow Transplant,Hematology,HEM001448,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
449,Gamma Knife Radiosurgery,Neurosurgery,NS001449,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
450,Gamma Knife Radiosurgery,Neurosurgery,NS001450,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
451,Robotic-Assisted Prostatectomy,Urology,URO001451,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
452,Robotic-Assisted Prostatectomy,Urology,URO001452,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
453,Liver Transplant,Hepatology,HEP001453,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
454,Robotic-Assisted Prostatectomy,Urology,URO001454,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
455,Liver Transplant,Hepatology,HEP001455,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
456,Robotic-Assisted Prostatectomy,Urology,URO001456,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
457,Liver Transplant,Hepatology,HEP001457,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
458,Gamma Knife Radiosurgery,Neurosurgery,NS001458,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
459,Gamma Knife Radiosurgery,Neurosurgery,NS001459,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
460,CAR-T Cell Therapy,Immuno-Oncology,ONC004460,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
461,CAR-T Cell Therapy,Immuno-Oncology,ONC004461,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
462,Robotic-Assisted Prostatectomy,Urology,URO001462,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
463,Gamma Knife Radiosurgery,Neurosurgery,NS001463,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
464,Robotic-Assisted Prostatectomy,Urology,URO001464,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
465,Bone Marrow Transplant,Hematology,HEM001465,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
466,Robotic-Assisted Prostatectomy,Urology,URO001466,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
467,Robotic-Assisted Prostatectomy,Urology,URO001467,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
468,Gamma Knife Radiosurgery,Neurosurgery,NS001468,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
469,Gamma Knife Radiosurgery,Neurosurgery,NS001469,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
470,Robotic-Assisted Prostatectomy,Urology,URO001470,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
471,Liver Transplant,Hepatology,HEP001471,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
472,Robotic-Assisted Prostatectomy,Urology,URO001472,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
473,Bone Marrow Transplant,Hematology,HEM001473,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
474,Bone Marrow Transplant,Hematology,HEM001474,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
475,Robotic-Assisted Prostatectomy,Urology,URO001475,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
476,Gamma Knife Radiosurgery,Neurosurgery,NS001476,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
477,Liver Transplant,Hepatology,HEP001477,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
478,Robotic-Assisted Prostatectomy,Urology,URO001478,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
479,Bone Marrow Transplant,Hematology,HEM001479,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
480,Gamma Knife Radiosurgery,Neurosurgery,NS001480,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
481,Liver Transplant,Hepatology,HEP001481,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
482,Bone Marrow Transplant,Hematology,HEM001482,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
483,Gamma Knife Radiosurgery,Neurosurgery,NS001483,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
484,Liver Transplant,Hepatology,HEP001484,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
485,Liver Transplant,Hepatology,HEP001485,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
486,Bone Marrow Transplant,Hematology,HEM001486,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
487,Gamma Knife Radiosurgery,Neurosurgery,NS001487,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
488,Gamma Knife Radiosurgery,Neurosurgery,NS001488,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
489,Liver Transplant,Hepatology,HEP001489,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
490,CAR-T Cell Therapy,Immuno-Oncology,ONC004490,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
491,Bone Marrow Transplant,Hematology,HEM001491,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
492,Gamma Knife Radiosurgery,Neurosurgery,NS001492,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
493,Robotic-Assisted Prostatectomy,Urology,URO001493,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
494,Robotic-Assisted Prostatectomy,Urology,URO001494,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
495,Gamma Knife Radiosurgery,Neurosurgery,NS001495,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
496,Gamma Knife Radiosurgery,Neurosurgery,NS001496,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
497,Bone Marrow Transplant,Hematology,HEM001497,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
498,Gamma Knife Radiosurgery,Neurosurgery,NS001498,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
499,Bone Marrow Transplant,Hematology,HEM001499,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
500,CAR-T Cell Therapy,Immuno-Oncology,ONC004500,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
